N,contract,rate,q,sigma,maturity,max_abs_x3_difference,max_ulp_x3_difference,signed_mean_x3_difference,positive_count,negative_count,worst_payload,formerly_hard_tail
13,0,-0.02,0.01,0.050000000000000003,0.25,3.7252902984619141e-09,311,5.3163376478870816e-12,1722,1609,2730,yes
13,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,92,1.1006162647930751e-10,1744,1551,85,no
13,2,0.029999999999999999,0,0.20000000000000001,1,2.9802322387695312e-08,86,1.0277945161618618e-11,1693,1610,2730,yes
13,3,0.029999999999999999,0.01,0.050000000000000003,5,1.4901161193847656e-08,790,7.2224837222023552e-11,1887,1686,2730,yes
14,0,-0.02,0.01,0.050000000000000003,0.25,3.7252902984619141e-09,304,5.6810493809233975e-12,1788,1617,2730,yes
14,1,0,0,0.40000000000000002,0.25,2.9802322387695312e-08,182,6.5272287574913435e-11,1712,1641,2730,yes
14,2,0.029999999999999999,0,0.20000000000000001,1,2.9802322387695312e-08,47,-2.5279750515139199e-11,1687,1636,2730,yes
14,3,0.029999999999999999,0.01,0.050000000000000003,5,1.4901161193847656e-08,3031,1.1262671351097708e-11,1738,1772,2730,yes
15,0,-0.02,0.01,0.050000000000000003,0.25,3.7252902984619141e-09,522,5.8479228404184624e-12,1751,1634,2730,yes
15,1,0,0,0.40000000000000002,0.25,2.9802322387695312e-08,209,6.9392686041780394e-11,1762,1615,2730,yes
15,2,0.029999999999999999,0,0.20000000000000001,1,2.9802322387695312e-08,48,5.1147308610666187e-11,1711,1559,1621,no
15,3,0.029999999999999999,0.01,0.050000000000000003,5,1.4901161193847656e-08,329,4.1515596516106257e-11,1798,1686,149,no
16,0,-0.02,0.01,0.050000000000000003,0.25,3.7252902984619141e-09,345,6.8767005978465079e-12,1731,1573,2730,yes
16,1,0,0,0.40000000000000002,0.25,2.9802322387695312e-08,59,4.3368392210751949e-11,1757,1615,2730,yes
16,2,0.029999999999999999,0,0.20000000000000001,1,2.9802322387695312e-08,26,5.2483850598861181e-11,1704,1554,2730,yes
16,3,0.029999999999999999,0.01,0.050000000000000003,5,1.4901161193847656e-08,1221,2.7836150051641084e-11,1832,1761,2730,yes
17,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,5311,4.7037937780936012e-12,1797,1596,0,yes
17,1,0,0,0.40000000000000002,0.25,2.9802322387695312e-08,59,5.0076304214385914e-11,1821,1616,8191,yes
17,2,0.029999999999999999,0,0.20000000000000001,1,2.9802322387695312e-08,94,9.5592145310519072e-11,1792,1602,2730,yes
17,3,0.029999999999999999,0.01,0.050000000000000003,5,1.4901161193847656e-08,373,1.7209594860290167e-11,1777,1758,8191,yes
18,0,-0.02,0.01,0.050000000000000003,0.25,3.7252902984619141e-09,3934,8.9767688725081451e-12,1768,1675,8191,yes
18,1,0,0,0.40000000000000002,0.25,2.9802322387695312e-08,84,6.9798833379763892e-11,1736,1593,2730,yes
18,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,962,6.2498010239275814e-11,1748,1543,0,yes
18,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,577,3.3490099582422772e-11,1843,1754,0,yes
19,0,-0.02,0.01,0.050000000000000003,0.25,3.7252902984619141e-09,172,5.7178567436366734e-12,1795,1677,2730,yes
19,1,0,0,0.40000000000000002,0.25,2.9802322387695312e-08,37,5.7056859237292201e-11,1790,1634,2730,yes
19,2,0.029999999999999999,0,0.20000000000000001,1,2.9802322387695312e-08,1073,5.4107569119610233e-12,1715,1653,8191,yes
19,3,0.029999999999999999,0.01,0.050000000000000003,5,1.4901161193847656e-08,797,-7.8719530893778256e-12,1754,1766,2730,yes
20,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,383,6.7502323175538947e-12,1771,1597,0,yes
20,1,0,0,0.40000000000000002,0.25,2.9802322387695312e-08,67,5.0468462742259135e-11,1745,1610,2730,yes
20,2,0.029999999999999999,0,0.20000000000000001,1,2.9802322387695312e-08,370,6.5166191887122693e-11,1768,1583,8191,yes
20,3,0.029999999999999999,0.01,0.050000000000000003,5,1.4901161193847656e-08,294,2.9987651251062175e-11,1763,1707,8191,yes
21,0,-0.02,0.01,0.050000000000000003,0.25,3.7252902984619141e-09,845,6.3303702557693242e-12,1785,1564,2730,yes
21,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,122,3.9768466297829264e-11,1733,1594,0,yes
21,2,0.029999999999999999,0,0.20000000000000001,1,2.9802322387695312e-08,31,2.5654894875160039e-11,1736,1626,8191,yes
21,3,0.029999999999999999,0.01,0.050000000000000003,5,1.4901161193847656e-08,427,1.268667115805755e-11,1799,1741,2730,yes
22,0,-0.02,0.01,0.050000000000000003,0.25,3.7252902984619141e-09,741,4.0679438984003724e-13,1761,1643,2730,yes
22,1,0,0,0.40000000000000002,0.25,2.9802322387695312e-08,39,7.4545841721729289e-11,1758,1575,2730,yes
22,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,39,1.855821052387796e-11,1739,1596,768,no
22,3,0.029999999999999999,0.01,0.050000000000000003,5,1.4901161193847656e-08,158,-1.0053458066039411e-11,1760,1754,8191,yes
23,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,197,2.4535304343764608e-12,1808,1655,0,yes
23,1,0,0,0.40000000000000002,0.25,2.9802322387695312e-08,18,2.5710433781966913e-11,1802,1715,2730,yes
23,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,44,4.9685533465293474e-11,1778,1659,0,yes
23,3,0.029999999999999999,0.01,0.050000000000000003,5,1.4901161193847656e-08,3428,1.7693409237740099e-11,1753,1764,2730,yes
24,0,-0.02,0.01,0.050000000000000003,0.25,3.7252902984619141e-09,1221,1.3941937881956079e-12,1736,1613,2730,yes
24,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,45,3.2028296681474444e-11,1765,1655,0,yes
24,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,33,2.5063603970032489e-11,1770,1622,0,yes
24,3,0.029999999999999999,0.01,0.050000000000000003,5,1.4901161193847656e-08,1269,3.3313865555051336e-11,1842,1760,8191,yes
25,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,332,5.636435762568226e-12,1757,1630,575,no
25,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,35,9.1625082521140655e-11,1777,1539,575,no
25,2,0.029999999999999999,0,0.20000000000000001,1,2.9802322387695312e-08,63,3.1852825932432438e-11,1798,1629,2730,yes
25,3,0.029999999999999999,0.01,0.050000000000000003,5,1.4901161193847656e-08,9291,1.6806020117221543e-11,1805,1756,8191,yes
26,0,-0.02,0.01,0.050000000000000003,0.25,3.7252902984619141e-09,65,5.3110293940505926e-12,1733,1608,2730,yes
26,1,0,0,0.40000000000000002,0.25,2.9802322387695312e-08,17,5.4303173069314425e-11,1764,1554,2730,yes
26,2,0.029999999999999999,0,0.20000000000000001,1,2.9802322387695312e-08,47,5.9833249466123561e-11,1753,1569,8191,yes
26,3,0.029999999999999999,0.01,0.050000000000000003,5,1.4901161193847656e-08,414,1.0500988967265812e-11,1725,1725,8191,yes
27,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,505,9.6150526776583867e-12,1817,1608,831,no
27,1,0,0,0.40000000000000002,0.25,2.9802322387695312e-08,33,5.3202497962701045e-11,1784,1597,8191,yes
27,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,334,-8.5555867945785735e-12,1740,1678,2133,no
27,3,0.029999999999999999,0.01,0.050000000000000003,5,1.4901161193847656e-08,614,2.720418335044883e-11,1826,1745,2730,yes
28,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,151,5.7151366972263418e-12,1781,1645,0,yes
28,1,0,0,0.40000000000000002,0.25,2.9802322387695312e-08,260,6.7206684661869076e-11,1821,1562,8191,yes
28,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,35,4.5637327250602766e-11,1759,1609,0,yes
28,3,0.029999999999999999,0.01,0.050000000000000003,5,1.4901161193847656e-08,182,1.6018658621774762e-11,1773,1696,8191,yes
29,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,804,2.2367281637958314e-12,1784,1640,0,yes
29,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,255,5.550179760227536e-11,1758,1557,1024,yes
29,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,32,1.5057621816083611e-11,1704,1623,149,no
29,3,0.029999999999999999,0.01,0.050000000000000003,5,1.4901161193847656e-08,150,4.035152767478678e-11,1788,1635,2730,yes
30,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,581,3.77103383242261e-12,1704,1606,768,no
30,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,121,6.2648428111877763e-11,1825,1584,2047,yes
30,2,0.029999999999999999,0,0.20000000000000001,1,2.9802322387695312e-08,36,2.387706699025216e-11,1664,1582,2730,yes
30,3,0.029999999999999999,0.01,0.050000000000000003,5,1.4901161193847656e-08,532,2.4673180165635245e-11,1775,1692,2730,yes
31,0,-0.02,0.01,0.050000000000000003,0.25,3.7252902984619141e-09,502,4.028107708498041e-12,1762,1621,2730,yes
31,1,0,0,0.40000000000000002,0.25,2.9802322387695312e-08,31,6.3718058607165062e-11,1715,1566,8191,yes
31,2,0.029999999999999999,0,0.20000000000000001,1,2.9802322387695312e-08,75,5.3052381931983916e-11,1689,1552,8191,yes
31,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,1008,2.11461403942792e-11,1811,1772,0,yes
32,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,399,4.7652585002944114e-12,1738,1614,810,no
32,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,73,-6.6280037014365689e-12,1686,1676,810,no
32,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,34,6.3090921376129927e-11,1815,1562,0,yes
32,3,0.029999999999999999,0.01,0.050000000000000003,5,1.4901161193847656e-08,1376,3.3548885891576674e-11,1822,1663,8191,yes
33,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,161,1.177877240188252e-14,1755,1632,0,yes
33,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,90,2.8311020194848879e-11,1793,1615,768,no
33,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,267,2.8098003090892831e-11,1724,1601,768,no
33,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,2307,1.6961411442029117e-11,1782,1701,1919,no
34,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,82,1.2731482534888983e-12,1694,1672,618,no
34,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,89,1.3991752201292229e-11,1740,1560,2730,yes
34,2,0.029999999999999999,0,0.20000000000000001,1,2.9802322387695312e-08,33,2.1836865649049741e-11,1734,1654,2730,yes
34,3,0.029999999999999999,0.01,0.050000000000000003,5,1.4901161193847656e-08,944,3.9797332096469518e-11,1859,1662,8191,yes
35,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,588,4.6715513402073583e-12,1721,1640,170,yes
35,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,44,2.0304924408520719e-11,1707,1586,2730,yes
35,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,17,5.8011165315896562e-11,1775,1534,85,no
35,3,0.029999999999999999,0.01,0.050000000000000003,5,1.4901161193847656e-08,363,1.8315224337150937e-11,1753,1699,2730,yes
36,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,113,3.2903853253163362e-12,1768,1614,1834,no
36,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,1026,2.057786580023091e-11,1754,1605,149,no
36,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,17,7.5649209119177385e-12,1718,1614,149,no
36,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,1575,7.5781464436985857e-12,1766,1671,1621,no
37,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,260,4.0536532464052755e-12,1789,1630,1365,yes
37,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,85,3.4979602547835498e-11,1729,1613,1365,yes
37,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,11,4.2026965241248604e-11,1764,1596,2730,yes
37,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,246,6.4401262100943768e-13,1689,1752,2560,yes
38,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,605,8.3261696148806408e-13,1709,1676,2730,yes
38,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,43,3.7080116754850678e-11,1757,1565,2730,yes
38,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,119,5.1978635805249862e-11,1767,1549,1621,no
38,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,755,1.9828708119895566e-11,1743,1639,149,no
39,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,3345,3.406934023092445e-12,1756,1623,2730,yes
39,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,161,5.6644480772582995e-11,1751,1595,2730,yes
39,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,22,3.6432939998221059e-11,1743,1564,2730,yes
39,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,117224,1.4566012458694377e-11,1740,1724,1024,yes
40,0,-0.02,0.01,0.050000000000000003,0.25,2.7939677238464355e-09,94,3.3962849893542923e-12,1758,1559,8191,yes
40,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,292,2.5302371309265936e-11,1682,1602,1834,no
40,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,43,7.8385908874878396e-12,1706,1638,2730,yes
40,3,0.029999999999999999,0.01,0.050000000000000003,5,1.4901161193847656e-08,1018,3.2514324566079722e-11,1815,1656,2730,yes
41,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,935,1.4927841948675358e-12,1756,1630,1621,no
41,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,71,6.0508265065095657e-12,1751,1652,1621,no
41,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,646,5.1068715228863582e-11,1768,1593,1621,no
41,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,749,-2.4803770148906779e-13,1734,1756,85,no
42,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,1209,5.6331298133038832e-12,1814,1614,2730,yes
42,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,101,1.6257738211233885e-11,1726,1586,2133,no
42,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,45,4.3523823434199471e-11,1779,1587,810,no
42,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,3599,2.3347219990643708e-11,1814,1674,1621,no
43,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,243,1.0711397047113991e-13,1735,1662,2133,no
43,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,19,4.8044346279141337e-11,1752,1552,2730,yes
43,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,26,7.3121897425920679e-11,1827,1610,2730,yes
43,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,501,1.0839565356413061e-11,1775,1728,2730,yes
44,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,224,2.7880198150143087e-12,1746,1602,1152,no
44,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,17,5.7629068184184007e-11,1765,1569,2730,yes
44,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,105,4.2701536751010849e-12,1730,1618,2730,yes
44,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,662,1.7661760942644378e-11,1800,1632,2730,yes
45,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,380,3.0531827066582196e-12,1739,1584,2730,yes
45,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,35,2.6424723520435123e-11,1727,1532,2730,yes
45,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,102,5.2215648471687359e-11,1783,1553,2730,yes
45,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,358,1.5005042347526754e-11,1774,1676,149,no
46,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,1511,3.4320571558332791e-12,1738,1624,2730,yes
46,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,36,3.6978309303492551e-11,1746,1600,2730,yes
46,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,52,2.879563254509776e-11,1748,1621,5376,no
46,3,0.029999999999999999,0.01,0.050000000000000003,5,1.1175870895385742e-08,109,5.6219195965212521e-12,1727,1743,8191,yes
47,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,99,4.3876915989393694e-12,1712,1570,1621,no
47,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,93,8.4409285117104105e-12,1690,1598,1621,no
47,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,30,5.8557492188526794e-11,1814,1542,1621,no
47,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,623,1.6335696684244283e-11,1788,1723,2730,yes
48,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,411,6.2520492255524474e-12,1792,1566,2730,yes
48,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,54,-1.9387547123272952e-11,1623,1610,2730,yes
48,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,96,5.5870863491236378e-11,1758,1490,2730,yes
48,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,495,2.1729226057365381e-11,1762,1666,1642,no
49,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,99,3.5736309744738293e-12,1782,1580,768,no
49,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,78,2.7605112640216589e-11,1723,1540,2730,yes
49,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,63,2.9453314787097895e-11,1641,1549,2730,yes
49,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,3396,5.0449228128357504e-12,1709,1711,597,no
50,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,330,-4.5754719457669069e-13,1732,1628,2730,yes
50,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,34,-1.2011724948024494e-11,1704,1576,2730,yes
50,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,26,5.3011262046709362e-11,1754,1553,8191,yes
50,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,649,5.3046941839163253e-12,1760,1732,0,yes
51,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,46,4.4626524697832792e-12,1694,1557,8191,yes
51,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,75,1.4377804502530012e-11,1692,1632,2730,yes
51,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,40,2.2296942070454406e-11,1735,1605,2730,yes
51,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,301,8.8466040049084427e-12,1726,1705,2730,yes
52,0,-0.02,0.01,0.050000000000000003,0.25,9.3132257461547852e-10,319,4.8960150170196393e-12,1758,1600,85,no
52,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,142,4.9983711614132176e-11,1756,1561,2730,yes
52,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,88,3.1588620608147266e-11,1716,1626,2730,yes
52,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,837,1.3334680581955638e-11,1752,1709,2730,yes
53,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,204,5.5175447544186795e-12,1732,1587,2730,yes
53,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,61,2.555297640149945e-11,1748,1618,2730,yes
53,2,0.029999999999999999,0,0.20000000000000001,1,7.4505805969238281e-09,380,1.8872667317815228e-11,1738,1576,0,yes
53,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,1150,1.9723604693933083e-11,1746,1654,2730,yes
54,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,179,2.2511784103507182e-12,1749,1603,2730,yes
54,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,1004,4.137642312107559e-11,1801,1566,2730,yes
54,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,35,1.4577478113508846e-11,1677,1560,1621,no
54,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,478,1.408445582384843e-11,1816,1687,1834,no
55,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,676,1.5420442700531112e-12,1722,1609,8191,yes
55,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,60,3.5709935009009541e-11,1778,1601,2730,yes
55,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,17,2.7517654821451742e-11,1763,1628,2730,yes
55,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,367,2.1819365758624087e-11,1748,1663,2730,yes
56,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,568,1.0790673909966131e-13,1728,1664,8191,yes
56,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,47,6.3895874702346589e-11,1784,1566,2730,yes
56,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,17,1.9234058790118524e-11,1744,1636,8191,yes
56,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,1494,1.3290001044108379e-11,1712,1701,2730,yes
