N,contract,rate,q,sigma,maturity,max_abs_x_error,max_ulp_x_error,signed_mean_x_error,positive_count,negative_count,worst_payload,formerly_hard_tail
11,2,0.029999999999999999,0,0.20000000000000001,1,1.4224943477433722e-08,30,-4.4142703722652774e-11,4041,4151,469,no
11,3,0.029999999999999999,0.01,0.050000000000000003,5,7.0747234899268096e-09,435,-1.0999784368801286e-11,4087,4105,7808,no
12,0,-0.02,0.01,0.050000000000000003,0.25,1.6263877161340018e-09,1683,8.4167866046590318e-13,4096,4096,3584,yes
12,1,0,0,0.40000000000000002,0.25,1.3695333745650603e-08,46,-1.416941961249318e-11,4070,4122,512,yes
12,2,0.029999999999999999,0,0.20000000000000001,1,1.3895671966313169e-08,33,2.7816550643571141e-11,4100,4092,4437,yes
12,3,0.029999999999999999,0.01,0.050000000000000003,5,6.1968137735790805e-09,2367,5.0142469219307461e-12,4136,4056,7210,no
13,0,-0.02,0.01,0.050000000000000003,0.25,1.658877185815337e-09,109,-1.7204301662358996e-12,4103,4089,6527,no
13,1,0,0,0.40000000000000002,0.25,1.3299592716787084e-08,29,2.9508222699844288e-11,4095,4097,4437,yes
13,2,0.029999999999999999,0,0.20000000000000001,1,1.3886847974757517e-08,44,-1.3226426452876008e-11,4113,4079,3199,no
13,3,0.029999999999999999,0.01,0.050000000000000003,5,7.209940250818394e-09,228,-3.6621008388780037e-12,4105,4087,2218,yes
14,0,-0.02,0.01,0.050000000000000003,0.25,1.5567510826944011e-09,186,-3.7910436458429561e-12,4117,4075,3413,yes
14,1,0,0,0.40000000000000002,0.25,1.2699070692254737e-08,47,2.6567666509855985e-11,4107,4085,256,no
14,2,0.029999999999999999,0,0.20000000000000001,1,1.237843575897141e-08,65,-2.6467493087458436e-11,4023,4169,4437,yes
14,3,0.029999999999999999,0.01,0.050000000000000003,5,6.6400558445786655e-09,1272,-3.2843738702801183e-12,4037,4155,3584,yes
15,0,-0.02,0.01,0.050000000000000003,0.25,1.5821287023805613e-09,211,1.169806894492933e-12,4140,4052,3199,no
15,1,0,0,0.40000000000000002,0.25,1.1958161800851002e-08,69,7.1682626841141851e-12,4050,4142,5119,yes
15,2,0.029999999999999999,0,0.20000000000000001,1,1.2546579689571757e-08,50,1.3423397982730396e-11,4120,4072,6997,yes
15,3,0.029999999999999999,0.01,0.050000000000000003,5,7.0363988041872675e-09,363,-8.116999169339136e-13,4096,4096,2218,yes
16,0,-0.02,0.01,0.050000000000000003,0.25,1.5878329358754932e-09,390,-6.6676518553431048e-12,3967,4225,512,yes
16,1,0,0,0.40000000000000002,0.25,1.1538510268734597e-08,25,-2.1939750080973756e-11,4136,4056,512,yes
16,2,0.029999999999999999,0,0.20000000000000001,1,1.3191615211120224e-08,23,1.1431194815331121e-11,4068,4124,4864,no
16,3,0.029999999999999999,0.01,0.050000000000000003,5,6.5041690374649588e-09,526,-6.4966820969535953e-12,4111,4081,3733,no
17,0,-0.02,0.01,0.050000000000000003,0.25,1.535220884192712e-09,2771,-3.1930797722975656e-12,4042,4150,3413,yes
17,1,0,0,0.40000000000000002,0.25,1.1336514177283635e-08,194,-1.4361895946161924e-11,4079,4113,2218,yes
17,2,0.029999999999999999,0,0.20000000000000001,1,1.1418878628746097e-08,94,3.1156665196381567e-11,4165,4027,8021,yes
17,3,0.029999999999999999,0.01,0.050000000000000003,5,6.5152970136231075e-09,246,6.0322908177056434e-12,4142,4050,6997,yes
18,0,-0.02,0.01,0.050000000000000003,0.25,1.4514129719122859e-09,34755,-1.1267038584408314e-12,4064,4128,5461,yes
18,1,0,0,0.40000000000000002,0.25,1.2456500517889139e-08,21,-1.955428754473905e-12,4097,4095,3413,yes
18,2,0.029999999999999999,0,0.20000000000000001,1,1.0286437678043863e-08,1075,-2.0377911044144486e-11,4091,4101,682,yes
18,3,0.029999999999999999,0.01,0.050000000000000003,5,6.2907292898561977e-09,592,2.9419206935798544e-12,4118,4074,6997,yes
19,0,-0.02,0.01,0.050000000000000003,0.25,1.5417191335376782e-09,78,-6.6265804285250427e-13,4131,4061,6997,yes
19,1,0,0,0.40000000000000002,0.25,9.8495282754643249e-09,76,-2.365319542872264e-11,3970,4222,682,yes
19,2,0.029999999999999999,0,0.20000000000000001,1,9.8861212480194399e-09,1066,7.4662744195171253e-12,4043,4149,2048,yes
19,3,0.029999999999999999,0.01,0.050000000000000003,5,6.2302775074459475e-09,768,-1.6133566130162486e-11,4077,4115,4181,no
20,0,-0.02,0.01,0.050000000000000003,0.25,1.4058905169593687e-09,301,4.3215326204042307e-13,4061,4131,3072,yes
20,1,0,0,0.40000000000000002,0.25,1.1836719127845267e-08,45,5.9091536462080434e-12,4110,4082,4437,yes
20,2,0.029999999999999999,0,0.20000000000000001,1,1.2200806397870052e-08,355,-7.9204643601254888e-12,4096,4096,3413,yes
20,3,0.029999999999999999,0.01,0.050000000000000003,5,5.9624213524253467e-09,260,-2.5307808658645039e-11,4023,4169,3498,no
21,0,-0.02,0.01,0.050000000000000003,0.25,1.3116927596036264e-09,600,-2.1931760910821424e-12,4081,4111,4778,yes
21,1,0,0,0.40000000000000002,0.25,1.2177853403628265e-08,85,3.8995759482755382e-12,4062,4130,4437,yes
21,2,0.029999999999999999,0,0.20000000000000001,1,1.0286560383352664e-08,36,-2.3395118334255858e-11,4042,4150,2048,yes
21,3,0.029999999999999999,0.01,0.050000000000000003,5,6.2863842705748688e-09,253,-2.3323904067363594e-12,4089,4103,4181,no
22,0,-0.02,0.01,0.050000000000000003,0.25,9.9889958694324624e-10,221,-1.5924605482813157e-12,4092,4100,7104,no
22,1,0,0,0.40000000000000002,0.25,9.5174383513477006e-09,11,4.3680336337424761e-12,4065,4127,1023,yes
22,2,0.029999999999999999,0,0.20000000000000001,1,8.9755277656668649e-09,15,-7.4276141581143477e-12,4113,4079,3413,yes
22,3,0.029999999999999999,0.01,0.050000000000000003,5,5.4834001647061095e-09,143,3.2279038818677779e-12,4105,4087,3584,yes
23,0,-0.02,0.01,0.050000000000000003,0.25,1.4599215102639502e-09,278,-4.9878495873926562e-13,4055,4137,3413,yes
23,1,0,0,0.40000000000000002,0.25,9.504058892248e-09,10,2.2844233095111036e-12,4022,4170,4778,yes
23,2,0.029999999999999999,0,0.20000000000000001,1,1.130207689979993e-08,34,-6.6784626794390171e-12,4135,4057,5119,yes
23,3,0.029999999999999999,0.01,0.050000000000000003,5,6.1802154051963806e-09,4208,1.3626044855514197e-12,4097,4095,3413,yes
24,0,-0.02,0.01,0.050000000000000003,0.25,1.1624513309406764e-09,521,2.4663730907221889e-12,4109,4083,8191,yes
24,1,0,0,0.40000000000000002,0.25,9.4149429673198165e-09,30,-1.4535327284311938e-11,3980,4212,4778,yes
24,2,0.029999999999999999,0,0.20000000000000001,1,8.1840140078213105e-09,131,1.6417038386210459e-11,4162,4030,1365,yes
24,3,0.029999999999999999,0.01,0.050000000000000003,5,6.0134998866079429e-09,1047,-1.943548723258204e-12,4116,4076,3413,yes
25,0,-0.02,0.01,0.050000000000000003,0.25,1.2915588550253961e-09,318,2.8982767922691077e-12,4156,4036,4778,yes
25,1,0,0,0.40000000000000002,0.25,1.0789405212369844e-08,125,-4.7195883304956425e-12,4094,4098,2048,yes
25,2,0.029999999999999999,0,0.20000000000000001,1,8.7733730231881407e-09,19,-1.2827283401364813e-11,4158,4034,4096,yes
25,3,0.029999999999999999,0.01,0.050000000000000003,5,5.465956209186136e-09,11298,1.4962069399146521e-12,4104,4088,5461,yes
26,0,-0.02,0.01,0.050000000000000003,0.25,1.0158263474737322e-09,39,2.2511400846227258e-12,4121,4071,149,no
26,1,0,0,0.40000000000000002,0.25,8.87030258720272e-09,65,-6.4827323131565342e-12,4086,4106,5461,yes
26,2,0.029999999999999999,0,0.20000000000000001,1,9.3588105576016538e-09,37,2.2199046860765916e-11,4133,4059,0,yes
26,3,0.029999999999999999,0.01,0.050000000000000003,5,4.8026552133421281e-09,634,-6.9363754082717238e-12,4066,4126,2389,yes
27,0,-0.02,0.01,0.050000000000000003,0.25,1.2304716709005188e-09,49,-6.0670889097900789e-13,4071,4121,5461,yes
27,1,0,0,0.40000000000000002,0.25,9.2793230700295361e-09,77,-6.1661837264378261e-12,4090,4102,8191,yes
27,2,0.029999999999999999,0,0.20000000000000001,1,1.123151537365517e-08,288,-6.5510841712875606e-12,4128,4064,3413,yes
27,3,0.029999999999999999,0.01,0.050000000000000003,5,5.0059602079888037e-09,288,5.759189815586656e-13,4068,4124,4095,yes
28,0,-0.02,0.01,0.050000000000000003,0.25,9.7736134200523159e-10,50,-1.2704870085233289e-13,4107,4085,5248,no
28,1,0,0,0.40000000000000002,0.25,8.5539863056692186e-09,147,-8.9948312232563263e-13,4055,4137,8191,yes
28,2,0.029999999999999999,0,0.20000000000000001,1,7.9664873422228684e-09,35,-4.8539310025867469e-12,4064,4128,6527,no
28,3,0.029999999999999999,0.01,0.050000000000000003,5,5.2134709958067143e-09,1057,-1.7236982962752982e-12,4123,4069,4437,yes
29,0,-0.02,0.01,0.050000000000000003,0.25,9.3694346729998821e-10,316,-1.9094636139366642e-12,4013,4179,1855,no
29,1,0,0,0.40000000000000002,0.25,7.5374061757709869e-09,149,1.4871176076875725e-11,4064,4128,4437,yes
29,2,0.029999999999999999,0,0.20000000000000001,1,7.8178030148544062e-09,17,-1.5317481052794834e-11,4092,4100,4864,no
29,3,0.029999999999999999,0.01,0.050000000000000003,5,4.0958451271231474e-09,226,7.189091814296907e-12,4112,4080,6463,no
30,0,-0.02,0.01,0.050000000000000003,0.25,1.2813229206759623e-09,262,4.6057920722386012e-13,4059,4133,5461,yes
30,1,0,0,0.40000000000000002,0.25,7.3817262025426837e-09,258,-5.4134701871793119e-13,4095,4097,895,no
30,2,0.029999999999999999,0,0.20000000000000001,1,7.8649317859400912e-09,53,-1.2885292329073696e-11,4070,4122,469,no
30,3,0.029999999999999999,0.01,0.050000000000000003,5,5.5365421729207139e-09,2129,5.3878657600608447e-12,4116,4076,4437,yes
31,0,-0.02,0.01,0.050000000000000003,0.25,8.8736591598554921e-10,412,-1.4642246522038765e-12,4072,4120,1429,no
31,1,0,0,0.40000000000000002,0.25,9.3381491008744906e-09,78,8.3957279385556797e-12,4109,4083,8191,yes
31,2,0.029999999999999999,0,0.20000000000000001,1,8.3777226958022783e-09,104,4.998292827536815e-12,4100,4092,8191,yes
31,3,0.029999999999999999,0.01,0.050000000000000003,5,4.3332497917361894e-09,124,2.5504782392054591e-12,4113,4079,1706,yes
32,0,-0.02,0.01,0.050000000000000003,0.25,9.4528909143851654e-10,614,1.9242561820246216e-13,4096,4096,6527,no
32,1,0,0,0.40000000000000002,0.25,7.6655266788847031e-09,28,-2.3801056038352433e-12,4059,4133,7616,no
32,2,0.029999999999999999,0,0.20000000000000001,1,7.4129081874968338e-09,27,1.4032846639067485e-12,4120,4072,3669,no
32,3,0.029999999999999999,0.01,0.050000000000000003,5,4.3854159257771576e-09,1104,-1.4579472671276865e-12,4105,4087,8191,yes
33,0,-0.02,0.01,0.050000000000000003,0.25,9.4903288498890907e-10,238,-1.3749650890812453e-12,4051,4141,0,yes
33,1,0,0,0.40000000000000002,0.25,7.2549162550136046e-09,55,1.3693387956277303e-11,4132,4060,1621,no
33,2,0.029999999999999999,0,0.20000000000000001,1,7.3948049822324087e-09,208,-9.7338929922296859e-12,4118,4074,4864,no
33,3,0.029999999999999999,0.01,0.050000000000000003,5,4.7857964171415235e-09,246,-3.6741418929696771e-12,4084,4108,5461,yes
34,0,-0.02,0.01,0.050000000000000003,0.25,9.3914451690150261e-10,63,-1.9411258966448977e-12,4045,4147,4181,no
34,1,0,0,0.40000000000000002,0.25,7.5686573971041066e-09,54,6.7858365183116639e-13,4102,4090,4437,yes
34,2,0.029999999999999999,0,0.20000000000000001,1,7.3972658772140887e-09,26,-9.2185834931722894e-13,4047,4145,469,no
34,3,0.029999999999999999,0.01,0.050000000000000003,5,5.3795067990706171e-09,1270,-1.2075677520166895e-12,4090,4102,5461,yes
35,0,-0.02,0.01,0.050000000000000003,0.25,8.9236529685287684e-10,819,-4.1326384952304078e-14,4086,4106,3199,no
35,1,0,0,0.40000000000000002,0.25,7.2192702016207621e-09,31,-3.7677782971310704e-12,4056,4136,6912,no
35,2,0.029999999999999999,0,0.20000000000000001,1,7.546722034435167e-09,57,-6.086248027723803e-13,4170,4022,7616,no
35,3,0.029999999999999999,0.01,0.050000000000000003,5,4.9126243628215792e-09,577,7.5299725505426879e-12,4138,4054,1365,yes
36,0,-0.02,0.01,0.050000000000000003,0.25,9.5417803964378756e-10,171,-5.1870861116257242e-13,4119,4073,2730,yes
36,1,0,0,0.40000000000000002,0.25,8.4446779220221903e-09,976,1.126797874214651e-12,4028,4164,8191,yes
36,2,0.029999999999999999,0,0.20000000000000001,1,7.6297706692336466e-09,28,1.1710921729343176e-11,4092,4100,8191,yes
36,3,0.029999999999999999,0.01,0.050000000000000003,5,3.939432815968804e-09,909,3.0279625118057792e-13,4111,4081,3413,yes
37,0,-0.02,0.01,0.050000000000000003,0.25,9.7758431558537456e-10,64,4.3967444958644953e-13,4059,4133,8191,yes
37,1,0,0,0.40000000000000002,0.25,6.8528755164536401e-09,100,-3.9450298615075855e-13,4052,4140,981,no
37,2,0.029999999999999999,0,0.20000000000000001,1,8.214682490298954e-09,27,8.7353824142486431e-13,4098,4094,2730,yes
37,3,0.029999999999999999,0.01,0.050000000000000003,5,3.8536522185628818e-09,278,5.0785417245500675e-12,4064,4128,3114,no
38,0,-0.02,0.01,0.050000000000000003,0.25,8.9848641586130483e-10,221,-1.602622418307161e-12,4033,4159,3199,no
38,1,0,0,0.40000000000000002,0.25,7.0335541160932848e-09,50,-4.2135173810531046e-12,4091,4101,3669,no
38,2,0.029999999999999999,0,0.20000000000000001,1,7.1011206192059209e-09,854,-9.1654529440443327e-12,4082,4110,895,no
38,3,0.029999999999999999,0.01,0.050000000000000003,5,3.828390363575507e-09,241,-2.4261866930101866e-12,4099,4093,7616,no
39,0,-0.02,0.01,0.050000000000000003,0.25,8.8552813526377508e-10,1709,7.1419983685290011e-14,4064,4128,6399,no
39,1,0,0,0.40000000000000002,0.25,6.5554705468809576e-09,194,1.1538021476086299e-11,4061,4131,2431,no
39,2,0.029999999999999999,0,0.20000000000000001,1,7.5036161938880739e-09,26,1.9128180640082347e-12,4129,4063,3199,no
39,3,0.029999999999999999,0.01,0.050000000000000003,5,4.4455987342742453e-09,20060,-6.466583300433188e-12,4050,4142,1365,yes
40,0,-0.02,0.01,0.050000000000000003,0.25,8.9827234438164997e-10,725,-1.1379868782157984e-12,4124,4068,5568,no
40,1,0,0,0.40000000000000002,0.25,7.4302093844159023e-09,229,-5.684587790447607e-13,4074,4118,4864,no
40,2,0.029999999999999999,0,0.20000000000000001,1,7.0818587092633994e-09,15,-5.6250528114268835e-12,4058,4134,6463,no
40,3,0.029999999999999999,0.01,0.050000000000000003,5,4.7031086705204856e-09,506,5.1597706429113059e-12,4075,4117,5461,yes
41,0,-0.02,0.01,0.050000000000000003,0.25,8.8518297075854802e-10,255,-1.0893578045523424e-12,4060,4132,2197,no
41,1,0,0,0.40000000000000002,0.25,7.2655927636023817e-09,57,-2.9393643011223077e-12,4092,4100,2218,yes
41,2,0.029999999999999999,0,0.20000000000000001,1,7.3134335181187957e-09,244,-9.4118431040436524e-12,4032,4160,469,no
41,3,0.029999999999999999,0.01,0.050000000000000003,5,3.9281041842161885e-09,395,-5.0028119000638519e-12,4017,4175,5461,yes
42,0,-0.02,0.01,0.050000000000000003,0.25,8.8545923287747147e-10,84,-1.0903529306457184e-12,4080,4112,6912,no
42,1,0,0,0.40000000000000002,0.25,7.3478145237295762e-09,47,-3.0534799782582417e-12,4065,4127,4864,no
42,2,0.029999999999999999,0,0.20000000000000001,1,7.168091859768876e-09,15,6.4157123119310854e-13,4034,4158,149,no
42,3,0.029999999999999999,0.01,0.050000000000000003,5,4.2874881896012229e-09,1466,4.3808569396125038e-12,4135,4057,2730,yes
43,0,-0.02,0.01,0.050000000000000003,0.25,8.7463623693739707e-10,41,-2.2088360614168567e-12,3993,4199,5248,no
43,1,0,0,0.40000000000000002,0.25,7.0113873897836909e-09,18,1.0139634997195888e-11,4137,4055,3114,no
43,2,0.029999999999999999,0,0.20000000000000001,1,6.9458194647274464e-09,14,1.8872149708536287e-11,4134,4058,3199,no
43,3,0.029999999999999999,0.01,0.050000000000000003,5,3.7311052243319942e-09,409,-8.6882440229292874e-13,4084,4108,6912,no
44,0,-0.02,0.01,0.050000000000000003,0.25,8.4775044127723644e-10,87,4.0342061075550989e-12,4163,4029,6399,no
44,1,0,0,0.40000000000000002,0.25,6.909342769923852e-09,18,1.5564681317529722e-11,4122,4070,5248,no
44,2,0.029999999999999999,0,0.20000000000000001,1,7.1120770550247508e-09,55,-1.5438449300793661e-11,4023,4169,2218,yes
44,3,0.029999999999999999,0.01,0.050000000000000003,5,3.5173964536568823e-09,135,2.6266766778871542e-12,4109,4083,6442,no
45,0,-0.02,0.01,0.050000000000000003,0.25,8.7377173475757182e-10,243,-1.0207663136791408e-14,4085,4107,469,no
45,1,0,0,0.40000000000000002,0.25,6.7180784257782867e-09,16,-4.7593917303231184e-12,4135,4057,6442,no
45,2,0.029999999999999999,0,0.20000000000000001,1,6.8378691979895709e-09,55,1.1312335552028725e-11,4157,4035,3114,no
45,3,0.029999999999999999,0.01,0.050000000000000003,5,3.7107262893167938e-09,2477,1.2845096082830762e-12,4101,4091,2218,yes
46,0,-0.02,0.01,0.050000000000000003,0.25,8.8360931330400735e-10,1465,-2.6491478488741709e-13,4079,4113,4437,yes
46,1,0,0,0.40000000000000002,0.25,6.624345915036388e-09,17,2.4352849432515689e-12,4094,4098,5760,no
46,2,0.029999999999999999,0,0.20000000000000001,1,7.1192033690141495e-09,27,8.6225578594875668e-12,4111,4081,4181,no
46,3,0.029999999999999999,0.01,0.050000000000000003,5,3.6932038287549219e-09,150,1.1453480619483846e-12,4101,4091,1855,no
47,0,-0.02,0.01,0.050000000000000003,0.25,8.4678610623413119e-10,105,8.3076903853751592e-13,4121,4071,3199,no
47,1,0,0,0.40000000000000002,0.25,6.7313758005202229e-09,21,-8.4656345135973827e-12,4056,4136,5248,no
47,2,0.029999999999999999,0,0.20000000000000001,1,7.0541692322404372e-09,13,1.2131597739519332e-11,4145,4047,512,yes
47,3,0.029999999999999999,0.01,0.050000000000000003,5,4.2930835371761041e-09,486,-1.5145573713331936e-12,4122,4070,2730,yes
48,0,-0.02,0.01,0.050000000000000003,0.25,8.3041338521485749e-10,357,3.5571867830652031e-13,4124,4068,1621,no
48,1,0,0,0.40000000000000002,0.25,6.1381297247549532e-09,10,-1.7620004664973319e-11,4076,4116,2303,no
48,2,0.029999999999999999,0,0.20000000000000001,1,6.7441091699594487e-09,39,1.0920554140216812e-11,4113,4079,4437,yes
48,3,0.029999999999999999,0.01,0.050000000000000003,5,3.0984068867895403e-09,1779,-2.2614848114710768e-13,4084,4108,7210,no
49,0,-0.02,0.01,0.050000000000000003,0.25,7.8844838889137963e-10,122,-1.334447505080385e-12,4030,4162,6442,no
49,1,0,0,0.40000000000000002,0.25,6.4736625524986171e-09,36,-3.7119836744379423e-12,4087,4105,6698,no
49,2,0.029999999999999999,0,0.20000000000000001,1,6.5737653227692625e-09,19,-1.8270046762803657e-11,4058,4134,2218,yes
49,3,0.029999999999999999,0.01,0.050000000000000003,5,3.6436433501320667e-09,1644,-3.6846282464487938e-12,4047,4145,4714,no
50,0,-0.02,0.01,0.050000000000000003,0.25,8.4524902713773171e-10,364,-1.6740213227045852e-12,4020,4172,5248,no
50,1,0,0,0.40000000000000002,0.25,6.2984928652971076e-09,18,-5.0954184074616557e-12,4154,4038,6997,yes
50,2,0.029999999999999999,0,0.20000000000000001,1,6.8141483124558734e-09,10,-1.3839428361397558e-12,4126,4066,512,yes
50,3,0.029999999999999999,0.01,0.050000000000000003,5,3.7819183036819422e-09,755,7.2648295762684257e-13,4069,4123,2730,yes
51,0,-0.02,0.01,0.050000000000000003,0.25,8.0392530364579078e-10,94,5.1639718420049553e-14,4102,4090,3584,yes
51,1,0,0,0.40000000000000002,0.25,6.8526154308524315e-09,21,-1.3609137831533409e-11,3988,4204,6912,no
51,2,0.029999999999999999,0,0.20000000000000001,1,6.1228495534746653e-09,18,-1.2833030342668437e-12,4149,4043,7679,yes
51,3,0.029999999999999999,0.01,0.050000000000000003,5,3.3884308287269804e-09,90,-8.309336467794546e-12,4022,4170,4864,no
52,0,-0.02,0.01,0.050000000000000003,0.25,8.4577646002755959e-10,249,1.4262658173306345e-12,4095,4097,4437,yes
52,1,0,0,0.40000000000000002,0.25,6.683219048560382e-09,41,4.4961779583223949e-12,4050,4142,6442,no
52,2,0.029999999999999999,0,0.20000000000000001,1,6.186724395503682e-09,37,3.4832937373812481e-12,4061,4131,3199,no
52,3,0.029999999999999999,0.01,0.050000000000000003,5,3.465855827515351e-09,322,-7.5978234519038109e-13,4066,4126,5248,no
53,0,-0.02,0.01,0.050000000000000003,0.25,8.3372896331613615e-10,112,-7.4826693070727365e-13,4065,4127,6912,no
53,1,0,0,0.40000000000000002,0.25,6.5107532495977068e-09,13,-1.3290292724667094e-11,4009,4183,3669,no
53,2,0.029999999999999999,0,0.20000000000000001,1,6.897150897052407e-09,147,7.1332173806713997e-12,4142,4050,4181,no
53,3,0.029999999999999999,0.01,0.050000000000000003,5,3.5538337176900952e-09,1651,-4.142109117330856e-12,4090,4102,4714,no
54,0,-0.02,0.01,0.050000000000000003,0.25,8.4181890983880142e-10,111,1.3254383919623515e-13,4052,4140,512,yes
54,1,0,0,0.40000000000000002,0.25,6.7991727250263972e-09,200,-3.9527850262920707e-12,4080,4112,6399,no
54,2,0.029999999999999999,0,0.20000000000000001,1,6.5433589227272072e-09,18,-4.7327097621973385e-12,4080,4112,1621,no
54,3,0.029999999999999999,0.01,0.050000000000000003,5,3.5068764034930897e-09,358,-2.1513393820287479e-12,4110,4082,4714,no
55,0,-0.02,0.01,0.050000000000000003,0.25,8.3647788985043427e-10,384,-1.4444600047305656e-12,4078,4114,2218,yes
55,1,0,0,0.40000000000000002,0.25,6.8741938981797144e-09,18,1.5062027999846066e-11,4125,4067,3199,no
55,2,0.029999999999999999,0,0.20000000000000001,1,6.3220556519623841e-09,9,1.640319810547623e-12,4085,4107,6912,no
55,3,0.029999999999999999,0.01,0.050000000000000003,5,3.3054737794122047e-09,374,-1.7541004224944225e-12,4108,4084,6912,no
56,0,-0.02,0.01,0.050000000000000003,0.25,8.3028283282973301e-10,48,5.6137497343608637e-14,4093,4099,4864,no
56,1,0,0,0.40000000000000002,0.25,6.0114669213437289e-09,72,9.1998362254809299e-12,4130,4062,3669,no
56,2,0.029999999999999999,0,0.20000000000000001,1,6.5462399380807103e-09,9,3.0854078174481503e-12,4148,4044,3498,no
