payload_index,donor_index,source_region,region_offset,packet,half,lane,sobol_word,float_bits,hard_tail_index
61,8253,0,61,1,1,13,3289120768,0x3f39a0e4,-1
62,8254,0,62,1,1,14,2215378944,0x3d2258c0,-1
63,8255,0,63,1,1,15,67895296,0xc0098cfa,-1
64,8256,0,64,2,0,0,101449728,0xbffdf803,-1
65,8257,0,65,2,0,1,2248933376,0x3d72a87d,-1
66,8258,0,66,2,0,2,3322675200,0x3f4035fb,-1
67,8259,0,67,2,0,3,1175191552,0xbf1a1612,-1
68,8260,0,68,2,0,4,1712062464,0xbe838ae7,-1
69,8261,0,69,2,0,5,3859546112,0x3fa3099e,-1
70,8262,0,70,2,0,6,2785804288,0x3ec360f3,-1
71,8263,0,71,2,0,7,638320640,0xbf856c4e,-1
72,8264,0,72,2,0,8,906756096,0xbf4d7333,-1
73,8265,0,73,2,0,9,3054239744,0x3f0e815d,-1
74,8266,0,74,2,0,10,4127981568,0x3fe1c589,-1
75,8267,0,75,2,0,11,1980497920,0xbdc7e843,-1
76,8268,0,76,2,0,12,1443627008,0xbed89d2b,-1
77,8269,0,77,2,0,13,3591110656,0x3f7a8808,-1
78,8270,0,78,2,0,14,2517368832,0x3e5ecc7a,-1
79,8271,0,79,2,0,15,369885184,0xbfaeb98e,-1
80,8272,0,80,2,1,0,504102912,0xbf98180e,-1
81,8273,0,81,2,1,1,2651586560,0x3e98dfc7,-1
82,8274,0,82,2,1,2,3725328384,0x3f8e991c,-1
83,8275,0,83,2,1,3,1577844736,0xbead7a88,-1
84,8276,0,84,2,1,4,2114715648,0xbc9cac7f,-1
85,8277,0,85,2,1,5,4262199296,0x401b4680,-1
86,8278,0,86,2,1,6,3188457472,0x3f269262,-1
87,8279,0,87,2,1,7,1040973824,0xbf32ddd4,-1
88,8280,0,88,2,1,8,772538368,0xbf6a75b1,-1
89,8281,0,89,2,1,9,2920022016,0x3eef46cc,-1
90,8282,0,90,2,1,10,3993763840,0x3fbcc72a,-1
91,8283,0,91,2,1,11,1846280192,0xbe34f1ca,-1
92,8284,0,92,2,1,12,1309409280,0xbf02ac63,-1
93,8285,0,93,2,1,13,3456892928,0x3f5bf122,-1
94,8286,0,94,2,1,14,2383151104,0x3e0d49c7,-1
95,8287,0,95,2,1,15,235667456,0xbfccb7be,-1
96,8288,0,96,3,0,0,168558592,0xbfe13791,-1
97,8289,0,97,3,0,1,2316042240,0x3dc9cbdb,-1
98,8290,0,98,3,0,2,3389784064,0x3f4dc642,-1
99,8291,0,99,3,0,3,1242300416,0xbf0e3b24,-1
100,8292,0,100,3,0,4,1779171328,0xbe5dd61a,-1
101,8293,0,101,3,0,5,3926654976,0x3faf060a,-1
102,8294,0,102,3,0,6,2852913152,0x3ed920c7,-1
103,8295,0,103,3,0,7,705429504,0xbf7a26fe,-1
104,8296,0,104,3,0,8,973864960,0xbf3fe645,-1
105,8297,0,105,3,0,9,3121348608,0x3f1a5e33,-1
106,8298,0,106,3,0,10,4195090432,0x3ffed0c6,-1
107,8299,0,107,3,0,11,2047606784,0xbd6ee447,-1
108,8300,0,108,3,0,12,1510735872,0xbec2df92,-1
109,8301,0,109,3,0,13,3658219520,0x3f85a023,-1
110,8302,0,110,3,0,14,2584477696,0x3e840746,-1
111,8303,0,111,3,0,15,436994048,0xbfa2c602,-1
112,8304,0,112,3,1,0,302776320,0xbfbc6e19,-1
113,8305,0,113,3,1,1,2450259968,0x3e35e63b,-1
114,8306,0,114,3,1,2,3524001792,0x3f6ad141,-1
115,8307,0,115,3,1,3,1376518144,0xbeeec0a0,-1
116,8308,0,116,3,1,4,1913389056,0xbe0c56db,-1
117,8309,0,117,3,1,5,4060872704,0x3fcd241b,-1
118,8310,0,118,3,1,6,2987130880,0x3f02f0ef,-1
119,8311,0,119,3,1,7,839647232,0xbf5b9a2b,-1
120,8312,0,120,3,1,8,571211776,0xbf8e6137,-1
121,8313,0,121,3,1,9,2718695424,0x3eadf9fb,-1
122,8314,0,122,3,1,10,3792437248,0x3f98550e,-1
123,8315,0,123,3,1,11,1644953600,0xbe9861fe,-1
124,8316,0,124,3,1,12,1108082688,0xbf264812,-1
125,8317,0,125,3,1,13,3255566336,0x3f332aa6,-1
126,8318,0,126,3,1,14,2181824512,0x3ca431f5,-1
127,8319,0,127,3,1,15,34340864,0xc01a2ef5,-1
128,8320,0,128,4,0,0,51118080,0xc010a879,-1
129,8321,0,129,4,0,1,2198601728,0x3cf46eba,-1
130,8322,0,130,4,0,2,3272343552,0x3f36620d,-1
131,8323,0,131,4,0,3,1124859904,0xbf2332bf,-1
132,8324,0,132,4,0,4,1661730816,0xbe93267f,-1
133,8325,0,133,4,0,5,3809214464,0x3f9ae856,-1
134,8326,0,134,4,0,6,2735472640,0x3eb34c13,-1
135,8327,0,135,4,0,7,587988992,0xbf8c137f,-1
136,8328,0,136,4,0,8,856424448,0xbf5800a2,-1
137,8329,0,137,4,0,9,3003908096,0x3f05ce6b,-1
138,8330,0,138,4,0,10,4077649920,0x3fd1cd6c,-1
139,8331,0,139,4,0,11,1930166272,0xbe023990,-1
140,8332,0,140,4,0,12,1393295360,0xbee92d6e,-1
141,8333,0,141,4,0,13,3540779008,0x3f6ea956,-1
142,8334,0,142,4,0,14,2467037184,0x3e401830,-1
143,8335,0,143,4,0,15,319553536,0xbfb8cd74,-1
144,8336,0,144,4,1,0,453771264,0xbf9fffa0,-1
145,8337,0,145,4,1,1,2601254912,0x3e8937d0,-1
146,8338,0,146,4,1,2,3674996736,0x3f87ce63,-1
147,8339,0,147,4,1,3,1527513088,0xbebd7e80,-1
148,8340,0,148,4,1,4,2064384000,0xbd46ba6d,-1
149,8341,0,149,4,1,5,4211867648,0x40045051,-1
150,8342,0,150,4,1,6,3138125824,0x3f1d6298,-1
151,8343,0,151,4,1,7,990642176,0xbf3c987d,-1
152,8344,0,152,4,1,8,722206720,0xbf76247d,-1
153,8345,0,153,4,1,9,2869690368,0x3edea026,-1
154,8346,0,154,4,1,10,3943432192,0x3fb24589,-1
155,8347,0,155,4,1,11,1795948544,0xbe53952d,-1
156,8348,0,156,4,1,12,1259077632,0xbf0b50b4,-1
157,8349,0,157,4,1,13,3406561280,0x3f51418a,-1
158,8350,0,158,4,1,14,2332819456,0x3dddf4ff,-1
159,8351,0,159,4,1,15,185335808,0xbfdb8c8b,-1
160,8352,0,160,5,0,0,252444672,0xbfc85600,-1
161,8353,0,161,5,0,1,2399928320,0x3e176aed,-1
162,8354,0,162,5,0,2,3473670144,0x3f5f9700,-1
163,8355,0,163,5,0,3,1326186496,0xbeffa6eb,-1
164,8356,0,164,5,0,4,1863057408,0xbe2ac4dc,-1
165,8357,0,165,5,0,5,4010541056,0x3fc09445,-1
166,8358,0,166,5,0,6,2936799232,0x3ef4e1f9,-1
167,8359,0,167,5,0,7,789315584,0xbf66ac34,-1
168,8360,0,168,5,0,8,1057751040,0xbf2fae43,-1
169,8361,0,169,5,0,9,3205234688,0x3f29ae87,-1
170,8362,0,170,5,0,10,4278976512,0x402b46cf,0
171,8363,0,171,5,0,11,2131492864,0xbc18e813,-1
172,8364,0,172,5,0,12,1594621952,0xbea82dac,-1
173,8365,0,173,5,0,13,3742105600,0x3f90f40b,-1
174,8366,0,174,5,0,14,2668363776,0x3e9e1fc0,-1
175,8367,0,175,5,0,15,520880128,0xbf959597,-1
176,8368,0,176,5,1,0,386662400,0xbfab9871,-1
177,8369,0,177,5,1,1,2534146048,0x3e6913a9,-1
178,8370,0,178,5,1,2,3607887872,0x3f7e9c07,-1
179,8371,0,179,5,1,3,1460404224,0xbed324c3,-1
180,8372,0,180,5,1,4,1997275136,0xbdb3c491,-1
181,8373,0,181,5,1,5,4144758784,0x3fe7f815,-1
182,8374,0,182,5,1,6,3071016960,0x3f117102,-1
183,8375,0,183,5,1,7,923533312,0xbf4a0271,-1
184,8376,0,184,5,1,8,655097856,0xbf8348b3,-1
185,8377,0,185,5,1,9,2802581504,0x3ec8c814,-1
186,8378,0,186,5,1,10,3876323328,0x3fa5e61b,-1
187,8379,0,187,5,1,11,1728839680,0xbe7cbc4a,-1
188,8380,0,188,5,1,12,1191968768,0xbf1717a0,-1
189,8381,0,189,5,1,13,3339452416,0x3f438cd0,-1
190,8382,0,190,5,1,14,2265710592,0x3d8d6c6a,-1
191,8383,0,191,5,1,15,118226944,0xbff58fd7,-1
192,8384,0,192,6,0,0,84672512,0xc003d1df,-1
193,8385,0,193,6,0,1,2232156160,0x3d4a7e21,-1
194,8386,0,194,6,0,2,3305897984,0x3f3ce770,-1
195,8387,0,195,6,0,3,1158414336,0xbf1d19f2,-1
196,8388,0,196,6,0,4,1695285248,0xbe88bb1c,-1
197,8389,0,197,6,0,5,3842768896,0x3fa04168,-1
198,8390,0,198,6,0,6,2769027072,0x3ebdff5f,-1
199,8391,0,199,6,0,7,621543424,0xbf87999f,-1
200,8392,0,200,6,0,8,889978880,0xbf50ed90,-1
201,8393,0,201,6,0,9,3037462528,0x3f0b967c,-1
202,8394,0,202,6,0,10,4111204352,0x3fdc0ff2,-1
203,8395,0,203,6,0,11,1963720704,0xbddc10ea,-1
204,8396,0,204,6,0,12,1426849792,0xbede1bee,-1
205,8397,0,205,6,0,13,3574333440,0x3f768411,-1
206,8398,0,206,6,0,14,2500591616,0x3e548b07,-1
207,8399,0,207,6,0,15,353107968,0xbfb1f655,-1
208,8400,0,208,6,1,0,487325696,0xbf9aa9d8,-1
209,8401,0,209,6,1,1,2634809344,0x3e93a3e7,-1
210,8402,0,210,6,1,2,3708551168,0x3f8c4a4a,-1
211,8403,0,211,6,1,3,1561067520,0xbeb2cc2b,-1
212,8404,0,212,6,1,4,2097938432,0xbcece8ce,-1
213,8405,0,213,6,1,5,4245422080,0x40116c94,-1
214,8406,0,214,6,1,6,3171680256,0x3f237c7d,-1
215,8407,0,215,6,1,7,1024196608,0xbf36148c,-1
216,8408,0,216,6,1,8,755761152,0xbf6e4c7f,-1
217,8409,0,217,6,1,9,2903244800,0x3ee9b2ed,-1
218,8410,0,218,6,1,10,3976986624,0x3fb922e8,-1
219,8411,0,219,6,1,11,1829502976,0xbe3f234d,-1
220,8412,0,220,6,1,12,1292632064,0xbf058979,-1
221,8413,0,221,6,1,13,3440115712,0x3f585690,-1
222,8414,0,222,6,1,14,2366373888,0x3e032c2a,-1
223,8415,0,223,6,1,15,218890240,0xbfd15a80,-1
224,8416,0,224,7,0,0,151781376,0xbfe75d59,-1
225,8417,0,225,7,0,1,2299265024,0x3db5a7b7,-1
226,8418,0,226,7,0,2,3373006848,0x3f4a549d,-1
227,8419,0,227,7,0,3,1225523200,0xbf112a55,-1
228,8420,0,228,7,0,4,1762394112,0xbe681cbc,-1
229,8421,0,229,7,0,5,3909877760,0x3fabe26f,-1
230,8422,0,230,7,0,6,2836135936,0x3ed3a7c9,-1
231,8423,0,231,7,0,7,688652288,0xbf7e3973,-1
232,8424,0,232,7,0,8,957087744,0xbf433c4f,-1
233,8425,0,233,7,0,9,3104571392,0x3f175f41,-1
234,8426,0,234,7,0,10,4178313216,0x3ff64e57,-1
235,8427,0,235,7,0,11,2030829568,0xbd8b8a02,-1
236,8428,0,236,7,0,12,1493958656,0xbec8462c,-1
237,8429,0,237,7,0,13,3641442304,0x3f837ba3,-1
238,8430,0,238,7,0,14,2567700480,0x3e7db466,-1
239,8431,0,239,7,0,15,420216832,0xbfa5a088,-1
240,8432,0,240,7,1,0,285999104,0xbfc0372f,-1
241,8433,0,241,7,1,1,2433482752,0x3e2bb8e3,-1
242,8434,0,242,7,1,2,3507224576,0x3f67068b,-1
243,8435,0,243,7,1,3,1359740928,0xbef45b1b,-1
244,8436,0,244,7,1,4,1896611840,0xbe1677a9,-1
245,8437,0,245,7,1,5,4044095488,0x3fc8bca1,-1
246,8438,0,246,7,1,6,2970353664,0x3f0017a0,-1
247,8439,0,247,7,1,7,822870016,0xbf5f3ef5,-1
248,8440,0,248,7,1,8,554434560,0xbf90bafc,-1
249,8441,0,249,7,1,9,2701918208,0x3ea8acae,-1
250,8442,0,250,7,1,10,3775660032,0x3f95d132,-1
251,8443,0,251,7,1,11,1628176384,0xbe9da193,-1
252,8444,0,252,7,1,12,1091305472,0xbf29639e,-1
253,8445,0,253,7,1,13,3238789120,0x3f2ffa6d,-1
254,8446,0,254,7,1,14,2165047296,0x3c27f271,-1
255,8447,0,255,7,1,15,17563648,0xc0294128,-1
256,8448,0,256,8,0,0,25952256,0xc0209e2b,-1
257,8449,0,257,8,0,1,2173435904,0x3c782a6b,-1
258,8450,0,258,8,0,2,3247177728,0x3f3191a8,-1
259,8451,0,259,8,0,3,1099694080,0xbf27d50d,-1
260,8452,0,260,8,0,4,1636564992,0xbe9b0143,-1
261,8453,0,261,8,0,5,3784048640,0x3f971142,-1
262,8454,0,262,8,0,6,2710306816,0x3eab52be,-1
263,8455,0,263,8,0,7,562823168,0xbf8f8c8d,-1
264,8456,0,264,8,0,8,831258624,0xbf5d6b21,-1
265,8457,0,265,8,0,9,2978742272,0x3f0183c4,-1
266,8458,0,266,8,0,10,4052484096,0x3fcae8ae,-1
267,8459,0,267,8,0,11,1905000448,0xbe1166ce,-1
268,8460,0,268,8,0,12,1368129536,0xbef18cf1,-1
269,8461,0,269,8,0,13,3515613184,0x3f68ea43,-1
270,8462,0,270,8,0,14,2441871360,0x3e30cf00,-1
271,8463,0,271,8,0,15,294387712,0xbfbe4d50,-1
272,8464,0,272,8,1,0,428605440,0xbfa430a8,-1
273,8465,0,273,8,1,1,2576089088,0x3e817050,-1
274,8466,0,274,8,1,2,3649830912,0x3f848cb3,-1
275,8467,0,275,8,1,3,1502347264,0xbec5922b,-1
276,8468,0,276,8,1,4,2039218176,0xbd817dac,-1
277,8469,0,277,8,1,5,4186701824,0x3ffa6c27,-1
278,8470,0,278,8,1,6,3112960000,0x3f18de0e,-1
279,8471,0,279,8,1,7,965476352,0xbf41903d,-1
280,8472,0,280,8,1,8,697040896,0xbf7c2e2e,-1
281,8473,0,281,8,1,9,2844524544,0x3ed6637f,-1
282,8474,0,282,8,1,10,3918266368,0x3fad70e6,-1
283,8475,0,283,8,1,11,1770782720,0xbe62f8b0,-1
284,8476,0,284,8,1,12,1233911808,0xbf0fb222,-1
285,8477,0,285,8,1,13,3381395456,0x3f4c0c41,-1
286,8478,0,286,8,1,14,2307653632,0x3dbfb931,-1
287,8479,0,287,8,1,15,160169984,0xbfe4399d,-1
288,8480,0,288,9,0,0,227278848,0xbfcf006f,-1
289,8481,0,289,9,0,1,2374762496,0x3e083a8c,-1
290,8482,0,290,9,0,2,3448504320,0x3f5a2277,-1
291,8483,0,291,9,0,3,1301020672,0xbf041a67,-1
292,8484,0,292,9,0,4,1837891584,0xbe3a09f4,-1
293,8485,0,293,9,0,5,3985375232,0x3fbaf031,-1
294,8486,0,294,9,0,6,2911633408,0x3eec7bf6,-1
295,8487,0,295,9,0,7,764149760,0xbf6c5f64,-1
296,8488,0,296,9,0,8,1032585216,0xbf347847,-1
297,8489,0,297,9,0,9,3180068864,0x3f2506ab,-1
298,8490,0,298,9,0,10,4253810688,0x4015e854,-1
299,8491,0,299,9,0,11,2106327040,0xbcc4ca0c,-1
300,8492,0,300,9,0,12,1569456128,0xbeb022be,-1
301,8493,0,301,9,0,13,3716939776,0x3f8d703a,-1
302,8494,0,302,9,0,14,2643197952,0x3e964156,-1
303,8495,0,303,9,0,15,495714304,0xbf995ef9,-1
304,8496,0,304,9,1,0,361496576,0xbfb05455,-1
305,8497,0,305,9,1,1,2508980224,0x3e59ab0e,-1
306,8498,0,306,9,1,2,3582722048,0x3f788417,-1
307,8499,0,307,9,1,3,1435238400,0xbedb5bbd,-1
308,8500,0,308,9,1,4,1972109312,0xbdd1fbf0,-1
309,8501,0,309,9,1,5,4119592960,0x3fdedc8e,-1
310,8502,0,310,9,1,6,3045851136,0x3f0d0b56,-1
311,8503,0,311,9,1,7,898367488,0xbf4f2f28,-1
312,8504,0,312,9,1,8,629932032,0xbf8681b8,-1
313,8505,0,313,9,1,9,2777415680,0x3ec0af7b,-1
314,8506,0,314,9,1,10,3851157504,0x3fa1a311,-1
315,8507,0,315,9,1,11,1703673856,0xbe862291,-1
316,8508,0,316,9,1,12,1166802944,0xbf1b9751,-1
317,8509,0,317,9,1,13,3314286592,0x3f3e8db1,-1
318,8510,0,318,9,1,14,2240544768,0x3d5e929f,-1
319,8511,0,319,9,1,15,93061120,0xc0014f55,-1
320,8512,0,320,10,0,0,126615552,0xbff1ba19,-1
321,8513,0,321,10,0,1,2274099200,0x3d9779c6,-1
322,8514,0,322,10,0,2,3347841024,0x3f453b6f,-1
323,8515,0,323,10,0,3,1200357376,0xbf159a63,-1
324,8516,0,324,10,0,4,1737228288,0xbe779206,-1
325,8517,0,325,10,0,5,3884711936,0x3fa75c71,-1
326,8518,0,326,10,0,6,2810970112,0x3ecb7dc9,-1
327,8519,0,327,10,0,7,663486464,0xbf823a63,-1
328,8520,0,328,10,0,8,931921920,0xbf484d8d,-1
329,8521,0,329,10,0,9,3079405568,0x3f12eaab,-1
330,8522,0,330,10,0,10,4153147392,0x3feb488f,-1
331,8523,0,331,10,0,11,2005663744,0xbda9b46a,-1
332,8524,0,332,10,0,12,1468792832,0xbed06ae0,-1
333,8525,0,333,10,0,13,3616276480,0x3f805623,-1
334,8526,0,334,10,0,14,2542534656,0x3e6e397e,-1
335,8527,0,335,10,0,15,395051008,0xbfaa118d,-1
336,8528,0,336,10,1,0,529268736,0xbf9459cf,-1
337,8529,0,337,10,1,1,2676752384,0x3ea0c154,-1
338,8530,0,338,10,1,2,3750494208,0x3f922647,-1
339,8531,0,339,10,1,3,1603010560,0xbea588fa,-1
340,8532,0,340,10,1,4,2139881472,0xbb916289,-1
341,8533,0,341,10,1,5,4287365120,0x403aa7a1,32
342,8534,0,342,10,1,6,3213623296,0x3f2b3f02,-1
343,8535,0,343,10,1,7,1066139648,0xbf2e1916,-1
344,8536,0,344,10,1,8,797704192,0xbf64cc46,-1
345,8537,0,345,10,1,9,2945187840,0x3ef7b260,-1
346,8538,0,346,10,1,10,4018929664,0x3fc28b92,-1
347,8539,0,347,10,1,11,1871446016,0xbe25b007,-1
348,8540,0,348,10,1,12,1334575104,0xbefcd107,-1
349,8541,0,349,10,1,13,3482058752,0x3f616e50,-1
350,8542,0,350,10,1,14,2408316928,0x3e1c7ce8,-1
351,8543,0,351,10,1,15,260833280,0xbfc63af8,-1
352,8544,0,352,11,0,0,193724416,0xbfd8de89,-1
353,8545,0,353,11,0,1,2341208064,0x3de80b9a,-1
354,8546,0,354,11,0,2,3414949888,0x3f5302e9,-1
355,8547,0,355,11,0,3,1267466240,0xbf09dd38,-1
356,8548,0,356,11,0,4,1804337152,0xbe4e76c3,-1
357,8549,0,357,11,0,5,3951820800,0x3fb3f089,-1
358,8550,0,358,11,0,6,2878078976,0x3ee1624c,-1
359,8551,0,359,11,0,7,730595328,0xbf7428fe,-1
360,8552,0,360,11,0,8,999030784,0xbf3af49b,-1
361,8553,0,361,11,0,9,3146514432,0x3f1ee6e4,-1
362,8554,0,362,11,0,10,4220256256,0x4007173f,-1
363,8555,0,363,11,0,11,2072772608,0xbd32a766,-1
364,8556,0,364,11,0,12,1535901696,0xbebacffa,-1
365,8557,0,365,11,0,13,3683385344,0x3f88e955,-1
366,8558,0,366,11,0,14,2609643520,0x3e8bd16e,-1
367,8559,0,367,11,0,15,462159872,0xbf9ea38c,-1
368,8560,0,368,11,1,0,327942144,0xbfb70b0c,-1
369,8561,0,369,11,1,1,2475425792,0x3e4532fb,-1
370,8562,0,370,11,1,2,3549167616,0x3f709a95,-1
371,8563,0,371,11,1,3,1401683968,0xbee6667d,-1
372,8564,0,372,11,1,4,1938554880,0xbdfa584b,-1
373,8565,0,373,11,1,5,4086038528,0x3fd43dcc,-1
374,8566,0,374,11,1,6,3012296704,0x3f073ec6,-1
375,8567,0,375,11,1,7,864813056,0xbf5637f2,-1
376,8568,0,376,11,1,8,596377600,0xbf8af0f2,-1
377,8569,0,377,11,1,9,2743861248,0x3eb5f6f9,-1
378,8570,0,378,11,1,10,3817603072,0x3f9c3814,-1
379,8571,0,379,11,1,11,1670119424,0xbe908a3a,-1
380,8572,0,380,11,1,12,1133248512,0xbf21aa5b,-1
381,8573,0,381,11,1,13,3280732160,0x3f380086,-1
382,8574,0,382,11,1,14,2206990336,0x3d0e479f,-1
383,8575,0,383,11,1,15,59506688,0xc00ce338,-1
384,8576,0,384,12,0,0,42729472,0xc0150279,-1
385,8577,0,385,12,0,1,2190213120,0x3ccc4fb7,-1
386,8578,0,386,12,0,2,3263954944,0x3f34c570,-1
387,8579,0,387,12,0,3,1116471296,0xbf24bca5,-1
388,8580,0,388,12,0,4,1653342208,0xbe95c3be,-1
389,8581,0,389,12,0,5,3800825856,0x3f999cb5,-1
390,8582,0,390,12,0,6,2727084032,0x3eb0a26a,-1
391,8583,0,391,12,0,7,579600384,0xbf8d38e4,-1
392,8584,0,392,12,0,8,848035840,0xbf59cc06,-1
393,8585,0,393,12,0,9,2995519488,0x3f045f25,-1
394,8586,0,394,12,0,10,4069261312,0x3fcf6ff6,-1
395,8587,0,395,12,0,11,1921777664,0xbe0747c9,-1
396,8588,0,396,12,0,12,1384906752,0xbeebf622,-1
397,8589,0,397,12,0,13,3532390400,0x3f6cbb96,-1
398,8590,0,398,12,0,14,2458648576,0x3e3afe9e,-1
399,8591,0,399,12,0,15,311164928,0xbfba98fa,-1
400,8592,0,400,12,1,0,445382656,0xbfa16064,-1
401,8593,0,401,12,1,1,2592866304,0x3e869f1a,-1
402,8594,0,402,12,1,2,3666608128,0x3f86b603,-1
403,8595,0,403,12,1,3,1519124480,0xbec02e5b,-1
404,8596,0,404,12,1,4,2055995392,0xbd5aceae,-1
405,8597,0,405,12,1,5,4203479040,0x4001c3f7,-1
406,8598,0,406,12,1,6,3129737216,0x3f1bdfb4,-1
407,8599,0,407,12,1,7,982253568,0xbf3e3e5d,-1
408,8600,0,408,12,1,8,713818112,0xbf7823ca,-1
409,8601,0,409,12,1,9,2861301760,0x3edbdfa7,-1
410,8602,0,410,12,1,10,3935043584,0x3fb0a226,-1
411,8603,0,411,12,1,11,1787559936,0xbe58b4f2,-1
412,8604,0,412,12,1,12,1250689024,0xbf0cc557,-1
413,8605,0,413,12,1,13,3398172672,0x3f4f82ab,-1
414,8606,0,414,12,1,14,2324430848,0x3dd3dfc5,-1
415,8607,0,415,12,1,15,176947200,0xbfde541b,-1
416,8608,0,416,13,0,0,244056064,0xbfca7f47,-1
417,8609,0,417,13,0,1,2391539712,0x3e1259e5,-1
418,8610,0,418,13,0,2,3465281536,0x3f5dc2a0,-1
419,8611,0,419,13,0,3,1317797888,0xbf013f69,-1
420,8612,0,420,13,0,4,1854668800,0xbe2fdac5,-1
421,8613,0,421,13,0,5,4002152448,0x3fbea856,-1
422,8614,0,422,13,0,6,2928410624,0x3ef21374,-1
423,8615,0,423,13,0,7,780926976,0xbf688f51,-1
424,8616,0,424,13,0,8,1049362432,0xbf31452b,-1
425,8617,0,425,13,0,9,3196846080,0x3f281fa9,-1
426,8618,0,426,13,0,10,4270587904,0x402206a6,-1
427,8619,0,427,13,0,11,2123104256,0xbc691fd2,-1
428,8620,0,428,13,0,12,1586233344,0xbeaad384,-1
429,8621,0,429,13,0,13,3733716992,0x3f8fc505,-1
430,8622,0,430,13,0,14,2659975168,0x3e9b7f3e,-1
431,8623,0,431,13,0,15,512491520,0xbf96d4f7,-1
432,8624,0,432,13,1,0,378273792,0xbfad25b0,-1
433,8625,0,433,13,1,1,2525757440,0x3e63ef55,-1
434,8626,0,434,13,1,2,3599499264,0x3f7c8ffa,-1
435,8627,0,435,13,1,3,1452015616,0xbed5e02f,-1
436,8628,0,436,13,1,4,1988886528,0xbdbdd5d3,-1
437,8629,0,437,13,1,5,4136370176,0x3fe4cda6,-1
